Site,Latitude,Longitude,Year,Month,Season,Percent_C1,Percent_C2,Percent_C3,Percent_C4,Percent_C5,Percent_C6
SRS-5,25.37702258,-81.03234716,2022,11,Wet,0.246640802,0.183782312,0.129147716,0.168221248,0.10006726,0.172140662
SRS-5,25.37702258,-81.03234716,2022,12,Dry,0.242219444,0.180622281,0.127274489,0.163073186,0.097560069,0.18925053
SRS-6,25.36462994,-81.07794623,2019,1,Dry,0.242176092,0.183939737,0.125559371,0.162778991,0.096315096,0.189230713
SRS-6,25.36462994,-81.07794623,2019,2,Dry,0.234836723,0.184703829,0.123556289,0.169228363,0.096170252,0.191504544
SRS-6,25.36462994,-81.07794623,2019,3,Dry,0.237354825,0.18259205,0.122691261,0.167984721,0.092130344,0.197246799
SRS-6,25.36462994,-81.07794623,2019,4,Dry,0.236089812,0.185286918,0.1221702,0.164904179,0.09572256,0.19582633
SRS-6,25.36462994,-81.07794623,2019,5,Dry,0.235931825,0.184402625,0.123359086,0.170051411,0.092189228,0.194065827
SRS-6,25.36462994,-81.07794623,2019,6,Wet,0.23358786,0.189760825,0.124065058,0.167993564,0.093629769,0.190962924
SRS-6,25.36462994,-81.07794623,2019,7,Wet,0.244666192,0.197716823,0.13574146,0.120724712,0.104953145,0.196197667
SRS-6,25.36462994,-81.07794623,2019,9,Wet,0.227553978,0.171221243,0.115440296,0.155205152,0.090462418,0.240116915
SRS-6,25.36462994,-81.07794623,2020,3,Dry,0.237456583,0.17991905,0.122727654,0.177339243,0.09039671,0.19216076
SRS-6,25.36462994,-81.07794623,2020,5,Dry,0.239064288,0.184411521,0.124199678,0.166258669,0.095765335,0.19030051
SRS-6,25.36462994,-81.07794623,2020,6,Wet,0.240604823,0.186308458,0.12511196,0.151071713,0.098566126,0.19833692
SRS-6,25.36462994,-81.07794623,2020,7,Wet,0.238947788,0.183922948,0.124083757,0.171863384,0.092672391,0.188509732
SRS-6,25.36462994,-81.07794623,2020,8,Wet,0.240030268,0.183850028,0.124089071,0.154433987,0.099251987,0.19834466
SRS-6,25.36462994,-81.07794623,2020,9,Wet,0.242719854,0.182960444,0.127328134,0.162724949,0.099800815,0.184465804
SRS-6,25.36462994,-81.07794623,2020,10,Wet,0.243536319,0.179988446,0.126385235,0.162201724,0.099798793,0.188089483
SRS-6,25.36462994,-81.07794623,2020,11,Wet,0.241790854,0.183021134,0.128427873,0.15715502,0.097280841,0.192324277
SRS-6,25.36462994,-81.07794623,2020,12,Dry,0.242038499,0.179680614,0.129729223,0.157435434,0.094589121,0.19652711
SRS-6,25.36462994,-81.07794623,2021,1,Dry,0.240773104,0.180174971,0.128450497,0.175404708,0.093657917,0.181538802
SRS-6,25.36462994,-81.07794623,2021,2,Dry,0.242838815,0.182470741,0.126132563,0.159838768,0.094478618,0.194240494
SRS-6,25.36462994,-81.07794623,2021,3,Dry,0.244318924,0.183515747,0.124185336,0.175050939,0.093039986,0.179889068
